ID,IDENTIFIER,SPECIES_ID,IS_SHINY,BLOB
1,normal,1,FALSE,data/sprites/normal/1.png
2,normal,2,FALSE,data/sprites/normal/2.png
3,normal,3,FALSE,data/sprites/normal/3.png
4,normal,4,FALSE,data/sprites/normal/4.png
5,normal,5,FALSE,data/sprites/normal/5.png
6,normal,6,FALSE,data/sprites/normal/6.png
7,normal,7,FALSE,data/sprites/normal/7.png
8,normal,8,FALSE,data/sprites/normal/8.png
9,normal,9,FALSE,data/sprites/normal/9.png
10,normal,10,FALSE,data/sprites/normal/10.png
11,normal,11,FALSE,data/sprites/normal/11.png
12,normal,12,FALSE,data/sprites/normal/12.png
13,normal,13,FALSE,data/sprites/normal/13.png
14,normal,14,FALSE,data/sprites/normal/14.png
15,normal,15,FALSE,data/sprites/normal/15.png
16,normal,16,FALSE,data/sprites/normal/16.png
17,normal,17,FALSE,data/sprites/normal/17.png
18,normal,18,FALSE,data/sprites/normal/18.png
19,normal,19,FALSE,data/sprites/normal/19.png
20,normal,20,FALSE,data/sprites/normal/20.png
21,normal,21,FALSE,data/sprites/normal/21.png
22,normal,22,FALSE,data/sprites/normal/22.png
23,normal,23,FALSE,data/sprites/normal/23.png
24,normal,24,FALSE,data/sprites/normal/24.png
25,normal,25,FALSE,data/sprites/normal/25.png
26,normal,26,FALSE,data/sprites/normal/26.png
27,normal,27,FALSE,data/sprites/normal/27.png
28,normal,28,FALSE,data/sprites/normal/28.png
29,normal,29,FALSE,data/sprites/normal/29.png
30,normal,30,FALSE,data/sprites/normal/30.png
31,normal,31,FALSE,data/sprites/normal/31.png
32,normal,32,FALSE,data/sprites/normal/32.png
33,normal,33,FALSE,data/sprites/normal/33.png
34,normal,34,FALSE,data/sprites/normal/34.png
35,normal,35,FALSE,data/sprites/normal/35.png
36,normal,36,FALSE,data/sprites/normal/36.png
37,normal,37,FALSE,data/sprites/normal/37.png
38,normal,38,FALSE,data/sprites/normal/38.png
39,normal,39,FALSE,data/sprites/normal/39.png
40,normal,40,FALSE,data/sprites/normal/40.png
41,normal,41,FALSE,data/sprites/normal/41.png
42,normal,42,FALSE,data/sprites/normal/42.png
43,normal,43,FALSE,data/sprites/normal/43.png
44,normal,44,FALSE,data/sprites/normal/44.png
45,normal,45,FALSE,data/sprites/normal/45.png
46,normal,46,FALSE,data/sprites/normal/46.png
47,normal,47,FALSE,data/sprites/normal/47.png
48,normal,48,FALSE,data/sprites/normal/48.png
49,normal,49,FALSE,data/sprites/normal/49.png
50,normal,50,FALSE,data/sprites/normal/50.png
51,normal,51,FALSE,data/sprites/normal/51.png
52,normal,52,FALSE,data/sprites/normal/52.png
53,normal,53,FALSE,data/sprites/normal/53.png
54,normal,54,FALSE,data/sprites/normal/54.png
55,normal,55,FALSE,data/sprites/normal/55.png
56,normal,56,FALSE,data/sprites/normal/56.png
57,normal,57,FALSE,data/sprites/normal/57.png
58,normal,58,FALSE,data/sprites/normal/58.png
59,normal,59,FALSE,data/sprites/normal/59.png
60,normal,60,FALSE,data/sprites/normal/60.png
61,normal,61,FALSE,data/sprites/normal/61.png
62,normal,62,FALSE,data/sprites/normal/62.png
63,normal,63,FALSE,data/sprites/normal/63.png
64,normal,64,FALSE,data/sprites/normal/64.png
65,normal,65,FALSE,data/sprites/normal/65.png
66,normal,66,FALSE,data/sprites/normal/66.png
67,normal,67,FALSE,data/sprites/normal/67.png
68,normal,68,FALSE,data/sprites/normal/68.png
69,normal,69,FALSE,data/sprites/normal/69.png
70,normal,70,FALSE,data/sprites/normal/70.png
71,normal,71,FALSE,data/sprites/normal/71.png
72,normal,72,FALSE,data/sprites/normal/72.png
73,normal,73,FALSE,data/sprites/normal/73.png
74,normal,74,FALSE,data/sprites/normal/74.png
75,normal,75,FALSE,data/sprites/normal/75.png
76,normal,76,FALSE,data/sprites/normal/76.png
77,normal,77,FALSE,data/sprites/normal/77.png
78,normal,78,FALSE,data/sprites/normal/78.png
79,normal,79,FALSE,data/sprites/normal/79.png
80,normal,80,FALSE,data/sprites/normal/80.png
81,normal,81,FALSE,data/sprites/normal/81.png
82,normal,82,FALSE,data/sprites/normal/82.png
83,normal,83,FALSE,data/sprites/normal/83.png
84,normal,84,FALSE,data/sprites/normal/84.png
85,normal,85,FALSE,data/sprites/normal/85.png
86,normal,86,FALSE,data/sprites/normal/86.png
87,normal,87,FALSE,data/sprites/normal/87.png
88,normal,88,FALSE,data/sprites/normal/88.png
89,normal,89,FALSE,data/sprites/normal/89.png
90,normal,90,FALSE,data/sprites/normal/90.png
91,normal,91,FALSE,data/sprites/normal/91.png
92,normal,92,FALSE,data/sprites/normal/92.png
93,normal,93,FALSE,data/sprites/normal/93.png
94,normal,94,FALSE,data/sprites/normal/94.png
95,normal,95,FALSE,data/sprites/normal/95.png
96,normal,96,FALSE,data/sprites/normal/96.png
97,normal,97,FALSE,data/sprites/normal/97.png
98,normal,98,FALSE,data/sprites/normal/98.png
99,normal,99,FALSE,data/sprites/normal/99.png
100,normal,100,FALSE,data/sprites/normal/100.png
101,normal,101,FALSE,data/sprites/normal/101.png
102,normal,102,FALSE,data/sprites/normal/102.png
103,normal,103,FALSE,data/sprites/normal/103.png
104,normal,104,FALSE,data/sprites/normal/104.png
105,normal,105,FALSE,data/sprites/normal/105.png
106,normal,106,FALSE,data/sprites/normal/106.png
107,normal,107,FALSE,data/sprites/normal/107.png
108,normal,108,FALSE,data/sprites/normal/108.png
109,normal,109,FALSE,data/sprites/normal/109.png
110,normal,110,FALSE,data/sprites/normal/110.png
111,normal,111,FALSE,data/sprites/normal/111.png
112,normal,112,FALSE,data/sprites/normal/112.png
113,normal,113,FALSE,data/sprites/normal/113.png
114,normal,114,FALSE,data/sprites/normal/114.png
